ความสะอาด,มีขยะเกลื่อนเต็มพื้น,มีขยะเต็มพื้นไปหมด ถังขยะก็ใส่ไม่พอ ถ้าสกปรกแบบนี้ผมคงไม่มีอารมณ์เรียนนะครับ,9,thawan,อยู่ระหว่างการดำเนินการ,02-08-2022 11:46:33,-,สถานที่,โรงอาหารวิศวะ,cleaner1
ความปลอดภัย,มีคนแปลกหน้าเข้ามาในมหาลัย,มีคนมาแจกตั๋วหนังฟรีที่บาร์ใหม่ แต่จำนวนของบัตรไม่มีพอให้ผม ผมไปเอาไม่ทัน อดดูหนังฟรี ยังงี้ผมจะมีกำลังใจเรียนได้ไง แก้ให้ด้วยนะครับ,0,thawan,ยังไม่ดำเนินการ,10-09-2022 10:32:43,-,สถานที่,บาร์ใหม่,-
ความสะอาด,ขยะเยอะ,ขยะเยอะมาก ถังขยะน้อยมาก,2,wittaya,ยังไม่ดำเนินการ,13-10-2022 11:08:08,-,สถานที่,คณะวิทยาศาสตร์,-
อาคารชำรุด,หน้าต่างเสีย,หน้าต่างเปิดปิดไม่ได้ ห้อง201,0,wittaya,ยังไม่ดำเนินการ,14-08-2022 15:52:43,-,อาคาร,ศูนย์เรียนรวม3,-
ยานพาหนะ,โดนโกงค่าโดยสาร,นั่งรถจักรยานยนต์จากประตูพหลโยธิน มาที่คณะวิทยาศาสตร์ 40บาท ถามเพื่อนเพื่อนบอก 15บาท โดนโกงค่าโดยสาร,0,wittaya,ดำเนินการเสร็จสิ้น,20-10-2022 17:24:30,จัดการให้เรียบร้อยครับ,ประเภทรถ,รถจักรยานยนต์,tranport3
ถนน ทางเท้า,ต้นไม้ขวางทาง,ต้นไม้ใหญ่ขึ้นมาขวางทางเดิน ทำให้คนที่เดินผ่านไปผ่านมาเดินทางยาก มาแก้ไขด้วยค่ะ,0,kantima,ยังไม่ดำเนินการ,11-08-2022 09:09:09,-,สถานที่,คณะบริหาร,-
ถนน ทางเท้า,ต้นไม้ขวางทาง,ทำไมต้นไม้ยังขวางทางอยู่คะ แจ้งไปแล้วทำไมไม่แก้สักที,0,kantima,ยังไม่ดำเนินการ,28-10-2022 12:47:51,-,สถานที่,คณะบริหาร,-
ยานพาหนะ,รถประจำทางร้อนมาก,รถประจำทางร้อนมาก มีแอร์แต่ก็ร้อนมากค่ะ,0,kantima,ยังไม่ดำเนินการ,09-09-2022 14:45:35,-,ประเภทรถ,รถประจำทาง,-
อาคารชำรุด,ประตูเสียเข้าห้องไม่ได้,ห้องพักประตูเสีย เบยเข้าไปนอนไม่ได้ วันนั้นตบยุงทั้งคืนเลยครับ,7,jetterin,อยู่ระหว่างการดำเนินการ,01-10-2022 15:23:53,-,อาคาร,หอพักชาย,building1
ถนน ทางเท้า,ถนนไม่เรียบ,ถนนเป็นหลุม ปั่นจักรยานแล้วตกหลุม ขาหักเลยครับ,1,jetterin,อยู่ระหว่างการดำเนินการ,04-10-2022 12:03:47,กำลังประสานงานอยู่ครับ,สถานที่,บาร์ใหม่,road1
ยานพาหนะ,วินมอไซค์ไม่ใส่หมวกกันน็อค,พี่วินขับไวมาก หมวกกันน็อคก็ไม่ใส่ อันตรายสุดๆ,0,jetterin,ยังไม่ดำเนินการ,10-10-2022 16:35:14,-,ประเภทรถ,มอเตอร์ไซค์,-
ความสะอาด,ห้องน้ำไม่สะอาด,ห้องน้ำไม่สะอาด เหมือนไม่ได้ถู ขยะเต็มเลย,14,lemon,ดำเนินการเสร็จสิ้น,11-10-2022 21:06:24,-,สถานที่,ห้องน้ำหญิงคณะวิทยาศาสตร์,cleaner1
ความสะอาด,ห้องน้ำขยะเยอะ,ขยะเยอะมาก มีน้ำขังบางห้อง,0,lemon,ยังไม่ดำเนินการ,15-10-2022 08:45:34,-,สถานที่,ห้องน้ำศร1,-
ความปลอดภัย,ไฟถนนไม่ติด,ทางเดินมืดมาก ไฟติดๆ ดับ ๆ ช่วยแก้ด้วยค่ะ,3,lemon,ยังไม่ดำเนินการ,16-10-2022 19:20:32,-,สถานที่,ตึกใหม่ คณะวิทยาศาสตร์,-
ความปลอดภัย,ไฟรั่ว,สายไฟมีเสียงแปลกๆ เหมือนไฟรั่ว แก้ด้วยยยยย,2,lemon,ยังไม่ดำเนินการ,19-08-2022 07:14:29,-,สถานที่,ทางเดินไปศร 3,-
ยานพาหนะ,รถตะลัยช้าเกิ้น,มาช้ามาก ไม่ตรงเวลาเลย ปรับปรุงด้วยค่า,9,lemon,ยังไม่ดำเนินการ,20-10-2022 21:45:10,-,ประเภทรถ,รถตะลัย,-
ความสะอาด,รำคาน,รำคานหน้าคนนี้มานานละ มันจะอะไรหนักนาก้ไม่รุ้,0,oishigreentea,ยังไม่ดำเนินการ,20-10-2022 21:47:11,-,สถานที่,คณะวิทย์,-
